GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_
"TRAVESSA CARLOS DE ALMEIDA BRAGA , 57 , SAO PAULO , SAO PAULO , BRASIL","116370798720000151","116","370","7987","00","0151",AR,AR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",86.00,88.00,TRAVESSA CARLOS DE ALMEIDA BRAGA,"57",D,0.00,,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","-23,5734845","-46,5176698"
"TRAVESSA CARLOS DE ALMEIDA BRAGA , 61 , SAO PAULO , SAO PAULO , BRASIL","116370798720000152","116","370","7987","00","0152",AR,AR,"1",S,S,ZM,"0","0",,"0","0",S,QA,"6",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",86.00,88.00,TRAVESSA CARLOS DE ALMEIDA BRAGA,"61",D,0.00,,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 1,SEGUNDO QUADRIMESTRE,"2021","-23,5734233","-46,517597"
"RUA JOSE CORREIA LIMA, 587, SAO PAULO, SAO PAULO - BRASIL","078528795879000038","078","528","7958","00","0038",PJ,PIR,"1",S,S,"99","0",,,"0","0",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",119.00,150.00,RUA JOSE CORREIA LIMA,"587",D,0.00,,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","-23,4967451","-46,7201164"
"RUA JOSE CORREIA LIMA, 591, SAO PAULO, SAO PAULO - BRASIL","078528795879000037","078","528","7958","00","0037",PJ,PIR,"1",S,S,"99","0",,,"0","0",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",140.00,150.00,RUA JOSE CORREIA LIMA,"591",D,0.00,,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","-23,4968473","-46,7200352"
"RUA JOSE CORREIA LIMA, 575, SAO PAULO, SAO PAULO - BRASIL","078528795879000040","078","528","7958","00","0040",PJ,PIR,"1",S,S,"99","0",,,"0","0",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",137.00,120.00,RUA JOSE CORREIA LIMA,"575",D,0.00,,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","-23,4968836","-46,7202096"
"RUA JOSE CORREIA LIMA, 577, SAO PAULO, SAO PAULO - BRASIL","078528795879000039","078","528","7958","00","0039",PJ,PIR,"1",S,S,"99","0",,,"0","0",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",220.00,161.00,RUA JOSE CORREIA LIMA,"577",D,0.00,,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","-23,4968742","-46,720166"
"RUA JOSE CORREIA LIMA, 653, SAO PAULO, SAO PAULO - BRASIL","078528795879000030","078","528","7958","00","0030",PJ,PIR,"1",S,S,"99","0",,,"0","0",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",160.00,150.00,RUA JOSE CORREIA LIMA,"653",D,0.00,,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","-23,4965431","-46,7195028"
"RUA JOSE CORREIA LIMA, 669, SAO PAULO, SAO PAULO - BRASIL","078528795879000029","078","528","7958","00","0029",PJ,PIR,"1",S,S,"99","0",,,"0","0",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",92.00,183.00,RUA JOSE CORREIA LIMA,"669",D,0.00,,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","-23,4965743","-46,7193234"
"RUA JOSE CORREIA LIMA, 635, SAO PAULO, SAO PAULO - BRASIL","078528795879000032","078","528","7958","00","0032",PJ,PIR,"1",S,S,"99","0",,,"0","0",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",374.00,300.00,RUA JOSE CORREIA LIMA,"635",D,0.00,,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","-23,4966898","-46,7196358"
"RUA JOSE CORREIA LIMA, 643, SAO PAULO, SAO PAULO - BRASIL","078528795879000031","078","528","7958","00","0031",PJ,PIR,"1",S,S,"99","0",,,"0","0",S,QA,"99",,L,"16402","2016",MA,"99",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",160.00,150.00,RUA JOSE CORREIA LIMA,"643",D,0.00,,,U,,,LOTE SEM GEOMETRIA NO GEOSAMPA.,SAO PAULO,SAO PAULO,BRASIL,NORTE,SEGUNDO QUADRIMESTRE,"2021","-23,4966598","-46,7195888"
