GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND 
"RUA CON VICENTE MIGUEL MARINO, , SAO PAULO, SAO PAULO,  - BRASIL","020008077810000088","020","008","077810","00","0088",SE,SCE,"2",S,S,ZEIS-3,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,4306.00,RUA CON VICENTE MIGUEL MARINO,,D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"1","2021","-23,5267546","-46,651648","0"
"RUA CON VICENTE MIGUEL MARINO, , SAO PAULO, SAO PAULO,  - BRASIL","020008077810000089","020","008","077810","00","0089",SE,SCE,"1",S,S,ZEIS-3,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,5101.00,RUA CON VICENTE MIGUEL MARINO,,D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"1","2021","-23,5267546","-46,651648","0"
"RUA MAEST CARDIM, 1153, SAO PAULO, SAO PAULO,  - BRASIL","038013042447000209","038","013","042447","00","0209",SE,BVI,"2",S,S,ZEU,"0",,L,"16402","2016",S,QA,"4",,L,"16402","2016",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",170.00,405.00,RUA MAEST CARDIM,"1153",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"1","2021","-23,5711436","-46,6418921","0"
"AV DA LIBERDADE, 1000, SAO PAULO, SAO PAULO,  - BRASIL","033006118184000455","033","006","118184","00","0455",SE,LIB,"1",S,S,ZC,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,4045.00,AV DA LIBERDADE,"1000",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"1","2021","-23,561321","-46,639079","0"
"RUA MARTINHO PRADO, 128, SAO PAULO, SAO PAULO,  - BRASIL","006020136140001095","006","020","136140","00","1095",SE,REP,"2",S,S,ZC,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"18",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",3625.00,1126.00,RUA MARTINHO PRADO,"128",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"1","2021","-23,5508137","-46,6456471","0"
"RUA VITORINO CARMILO, 453, SAO PAULO, SAO PAULO,  - BRASIL","008002198625000444","008","002","198625","00","0444",SE,SCE,"1",S,S,ZEM,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",229.00,670.00,RUA VITORINO CARMILO,"453",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"1","2021","-23,5330565","-46,6514976","0"
"AV DA LIBERDADE, 878, SAO PAULO, SAO PAULO,  - BRASIL","033006118184000454","033","006","118184","00","0454",SE,LIB,"1",S,S,ZEIS-3,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",440.00,320.00,AV DA LIBERDADE,"878",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"1","2021","-23,5601615","-46,638357","0"
"PC OLAVO BILAC-I.QUADRANGULAR, 48, SAO PAULO, SAO PAULO,  - BRASIL","008002149098000032","008","002","149098","00","0032",SE,SCE,"1",S,S,ZEM,"0",,L,"16402","2016",S,QA,"1",,L,"16402","2016",MA,"9",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",501.00,394.00,PC OLAVO BILAC-I.QUADRANGULAR,"48",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"1","2021","-23,533512","-46,652385","0"
"RUA S PEDRO DA ALDEIA, 62, SAO PAULO, SAO PAULO,  - BRASIL","067492158950030000","067","492","158950","03","0000",ST,TUC,"1",S,S,ZM,"0",,L,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,301.00,RUA S PEDRO DA ALDEIA,"62",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,"1","2021","-23,4733986","-46,5899394","1"
"RUA JOAO DE LEDESMA, 158, SAO PAULO, SAO PAULO,  - BRASIL","067247102466040000","067","247","102466","04","0000",ST,TUC,"1",S,S,ZM,"0",,,"16402","2016",S,QA,"8",,L,"16402","2016",MA,"2",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,245.00,RUA JOAO DE LEDESMA,"158",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,NORTE,"1","2021","-23,4715521","-46,5896567","1"
