GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_M,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND
"RUA APIU-QUIRIBO, 5,
SAO PAULO, SAO PAULO - BRASIL","133104089362000014","133","104","0893","00","0014",MP,JDH,"1",S,S,ZEU,"0",,,"0","0",S,QA,"2",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",810.00,508.00,RUA APIU-QUIRIBO,"5",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,4934883","-46,4050927","0"
"RUA JOAO BARBOSA RABELO, 186,
SAO PAULO, SAO PAULO - BRASIL","133279112950000081","133","279","1129","00","0081",MP,JDH,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"10",,,"0","0",MA,"8",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",109.00,151.00,RUA JOAO BARBOSA RABELO,"186",,0.00,0.00,,U,,,LOTE NOVO SEM FILIACAO.,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,4809519","-46,382105","0"
"RUA MANUEL LEMES DA SILVA, 75,
SAO PAULO, SAO PAULO - BRASIL","134309214752000025","134","309","2147","00","0025",IT,IPA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,126.00,RUA MANUEL LEMES DA SILVA,"75",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,4935044","-46,3832447","0"
"RUA MANUEL LEMES DA SILVA, 75,
SAO PAULO, SAO PAULO - BRASIL","134309214752000026","134","309","2147","00","0026",IT,IPA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",77.00,139.00,RUA MANUEL LEMES DA SILVA,"75",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,4935044","-46,3832447","0"
"RUA MANUEL LEMES DA SILVA, 179,
SAO PAULO, SAO PAULO - BRASIL","134309214752000027","134","309","2147","00","0027",IT,IPA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",50.00,252.00,RUA MANUEL LEMES DA SILVA,"179",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,4935469","-46,3832226","0"
"RUA MANUEL LEMES DA SILVA, 183,
SAO PAULO, SAO PAULO - BRASIL","134309214752000028","134","309","2147","00","0028",IT,IPA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",22.00,140.00,RUA MANUEL LEMES DA SILVA,"183",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,494531","-46,3805051","0"
"RUA MANUEL DA SILVA RIO, 260,
SAO PAULO, SAO PAULO - BRASIL","134405749524000048","134","405","7495","00","0048",IT,IPA,"2",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1755.00,RUA MANUEL DA SILVA RIO,"260",R,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,4914704","-46,3780288","0"
"RUA ITAJUIBE, 793,
SAO PAULO, SAO PAULO - BRASIL","134517094773000049","134","517","0947","00","0049",IT,IPA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",150.00,150.00,RUA ITAJUIBE,"793",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5032063","-46,3903493","0"
"RUA ITAJUIBE, 793,
SAO PAULO, SAO PAULO - BRASIL","134517094773000050","134","517","0947","00","0050",IT,IPA,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,150.00,RUA ITAJUIBE,"793",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5032063","-46,3903493","0"
"RUA ALFREDO BEZERRA DOS SANTOS, 9,
SAO PAULO, SAO PAULO - BRASIL","135092201472000031","135","092","2014","00","0031",IT,VCR,"1",S,S,ZM,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,125.00,RUA ALFREDO BEZERRA DOS SANTOS,"9",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,BRASIL,LESTE 2,,"2021","-23,5219257","-46,4157595","0"
