GEOCODE,ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,NOME_PAIS_,REG_LIM_AD,COD_QUAD,COD_ANO,Lat_Y_,Long_X_,COND
"RUA APIACAS, 621, SAO PAULO, SAO PAULO - BRASIL","021077019402040000","021","077","019402","04","0000",LA,PRD,"1",S,S,ZM,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,850.00,RUA APIACAS,"621",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5374623","-46,6784752","1"
"RUA JERONIMO DA VEIGA, 428, SAO PAULO, SAO PAULO - BRASIL","016054100536040000","016","054","100536","04","0000",PI,IBI,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,403.00,RUA JERONIMO DA VEIGA,"428",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5817835","-46,6831015","1"
"RUA BELA CINTRA, 2302, SAO PAULO, SAO PAULO - BRASIL","013035030341040000","013","035","030341","04","0000",PI,JDP,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1586.00,RUA BELA CINTRA,"2302",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5639823","-46,6702938","1"
"RUA DOUTOR SENG, 152, SAO PAULO, SAO PAULO - BRASIL","009018179949040000","009","018","179949","04","0000",SE,BVI,"1",S,S,ZEU,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,3448.00,RUA DOUTOR SENG,"152",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5623256","-46,6500304","1"
"RUA ARTUR PRADO, 57, SAO PAULO, SAO PAULO - BRASIL","009044023680040000","009","044","023680","04","0000",SE,BVI,"1",S,S,ZEU,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1000.00,RUA ARTUR PRADO,"57",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,560913","-46,6425126","1"
"RUA HADDOCK LOBO, 1259, SAO PAULO, SAO PAULO - BRASIL","014005085626070000","014","005","085626","07","0000",PI,JDP,"1",S,S,ZC,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,924.00,RUA HADDOCK LOBO,"1259",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5624081","-46,6661081","1"
"ALAMEDA LORENA, 289, SAO PAULO, SAO PAULO - BRASIL","014075119890070000","014","075","119890","07","0000",PI,JDP,"1",S,S,ZM,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1204.00,ALAMEDA LORENA,"289",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5719955","-46,6575439","1"
"RUA PEIXOTO GOMIDE, 1772, SAO PAULO, SAO PAULO - BRASIL","014029160288070000","014","029","160288","07","0000",PI,JDP,"1",S,S,ZM,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,1540.00,RUA PEIXOTO GOMIDE,"1772",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,NOROESTE,"3","2021","-23,5668953","-46,6635389","1"
"RUA AVANHANDAVA, 918, SAO PAULO, SAO PAULO - BRASIL","010027026174080000","010","027","026174","08","0000",SE,BVI,"2",S,S,ZC,"0",,,"0","0",S,QA,"5",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,589.00,RUA AVANHANDAVA,"918",D,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,CENTRO,"3","2021","-23,5542791","-46,6500533","1"
"RUA JOSE ANTONIO COELHO, 603, SAO PAULO, SAO PAULO - BRASIL","037012107735090000","037","012","107735","09","0000",VM,VMN,"1",S,S,ZM,"0",,,"0","0",S,QA,"4",,,"0","0",MA,"1",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",0.00,2797.00,RUA JOSE ANTONIO COELHO,"603",R,0.00,0.00,U,,,,SAO PAULO,SAO PAULO,BRASIL,SUL-SUDESTE,"3","2021","-23,5810813","-46,6464112","1"
